pickup,dropoff,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-12 05:36:56,2019-03-12 05:42:01,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-06 10:18:15,2019-03-06 10:26:49,Union Sq,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-02 16:08:03,2019-03-02 16:21:18,Midtown Center,Greenwich Village South,Manhattan,Manhattan
2019-03-02 21:42:07,2019-03-02 22:01:15,SoHo,Murray Hill,Manhattan,Manhattan
2019-03-03 12:55:38,2019-03-03 13:01:05,Midtown Center,Murray Hill,Manhattan,Manhattan
2019-03-13 21:44:34,2019-03-13 21:53:19,Midtown East,Upper East Side South,Manhattan,Manhattan
2019-03-05 10:08:16,2019-03-05 11:08:03,LaGuardia Airport,East Village,Queens,Manhattan
2019-03-08 02:56:38,2019-03-08 03:07:24,Murray Hill,West Village,Manhattan,Manhattan
2019-03-05 21:25:00,2019-03-05 21:31:31,Lincoln Square East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-21 20:15:42,2019-03-21 20:23:21,Clinton West,Upper West Side South,Manhattan,Manhattan
2019-03-07 15:43:26,2019-03-07 16:10:10,JFK Airport,Kew Gardens Hills,Queens,Queens
2019-03-06 23:37:56,2019-03-06 23:49:59,Manhattan Valley,Central Harlem North,Manhattan,Manhattan
2019-03-07 18:42:37,2019-03-07 19:17:06,LaGuardia Airport,East Village,Queens,Manhattan
2019-03-30 10:54:16,2019-03-30 11:03:00,East Chelsea,SoHo,Manhattan,Manhattan
2019-03-08 21:36:11,2019-03-08 21:47:20,West Chelsea/Hudson Yards,Upper West Side North,Manhattan,Manhattan
2019-03-01 09:52:57,2019-03-01 10:08:19,Yorkville East,Midtown East,Manhattan,Manhattan
2019-03-05 09:39:15,2019-03-05 10:22:07,West Chelsea/Hudson Yards,Midtown East,Manhattan,Manhattan
2019-03-21 13:30:44,2019-03-21 13:51:08,West Village,Clinton East,Manhattan,Manhattan
2019-03-21 18:45:13,2019-03-21 18:52:38,Greenwich Village North,East Village,Manhattan,Manhattan
2019-03-06 07:54:22,2019-03-06 08:21:38,Battery Park City,Midtown East,Manhattan,Manhattan
2019-03-08 20:17:01,2019-03-08 20:42:10,Financial District North,Midtown South,Manhattan,Manhattan
2019-03-02 19:09:35,2019-03-02 19:26:31,Midtown South,Yorkville West,Manhattan,Manhattan
2019-03-25 10:36:40,2019-03-25 10:47:26,Penn Station/Madison Sq West,Midtown Center,Manhattan,Manhattan
2019-03-24 14:18:04,2019-03-24 14:34:33,SoHo,Gramercy,Manhattan,Manhattan
2019-03-26 08:56:03,2019-03-26 09:23:25,Times Sq/Theatre District,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-11 17:53:03,2019-03-11 18:06:24,Union Sq,Upper East Side South,Manhattan,Manhattan
2019-03-22 20:29:21,2019-03-22 20:42:32,East Chelsea,Midtown South,Manhattan,Manhattan
2019-03-26 19:41:00,2019-03-26 19:48:14,Union Sq,Murray Hill,Manhattan,Manhattan
2019-03-18 10:23:22,2019-03-18 10:54:49,LaGuardia Airport,Chinatown,Queens,Manhattan
2019-03-06 09:35:34,2019-03-06 10:00:33,Upper East Side North,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-16 11:04:35,2019-03-16 11:40:25,TriBeCa/Civic Center,Upper East Side North,Manhattan,Manhattan
2019-03-10 04:11:28,2019-03-10 04:17:21,West Chelsea/Hudson Yards,East Chelsea,Manhattan,Manhattan
2019-03-09 11:23:41,2019-03-09 11:38:36,Flatiron,Midtown East,Manhattan,Manhattan
2019-03-11 21:32:20,2019-03-11 21:40:59,Upper East Side North,Upper West Side North,Manhattan,Manhattan
2019-03-02 13:56:42,2019-03-02 14:17:46,LaGuardia Airport,Williamsburg (North Side),Queens,Brooklyn
2019-03-17 00:44:19,2019-03-17 00:50:58,Midtown Center,Upper West Side South,Manhattan,Manhattan
2019-03-25 08:30:40,2019-03-25 08:46:16,Upper East Side North,Morningside Heights,Manhattan,Manhattan
2019-03-10 22:57:15,2019-03-10 23:09:58,West Village,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-29 10:00:02,2019-03-29 10:19:35,Clinton East,Midtown East,Manhattan,Manhattan
2019-03-07 13:22:35,2019-03-07 13:27:00,Manhattan Valley,Manhattan Valley,Manhattan,Manhattan
2019-03-15 17:46:09,2019-03-15 17:52:18,Times Sq/Theatre District,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-04 20:37:15,2019-03-04 20:45:04,Greenwich Village North,Murray Hill,Manhattan,Manhattan
2019-03-23 02:31:10,2019-03-23 02:36:21,East Chelsea,Union Sq,Manhattan,Manhattan
2019-03-23 14:04:51,2019-03-23 14:14:47,Clinton East,Midtown North,Manhattan,Manhattan
2019-03-01 18:21:58,2019-03-01 18:27:29,Yorkville East,Upper East Side North,Manhattan,Manhattan
2019-03-08 08:19:48,2019-03-08 08:49:45,Penn Station/Madison Sq West,Midtown East,Manhattan,Manhattan
2019-03-12 17:15:40,2019-03-12 17:34:24,Yorkville West,Upper East Side South,Manhattan,Manhattan
2019-03-22 19:15:49,2019-03-22 19:24:54,Midtown North,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-01 22:55:07,2019-03-01 23:18:29,East Village,East Williamsburg,Manhattan,Brooklyn
2019-03-07 20:35:40,2019-03-07 20:42:15,Clinton West,Midtown Center,Manhattan,Manhattan
2019-03-01 17:05:48,2019-03-01 17:13:13,Times Sq/Theatre District,Clinton East,Manhattan,Manhattan
2019-03-20 15:45:39,2019-03-20 15:58:57,Upper East Side North,Lenox Hill East,Manhattan,Manhattan
2019-03-30 07:57:26,2019-03-30 08:07:18,West Chelsea/Hudson Yards,Flatiron,Manhattan,Manhattan
2019-03-27 01:15:27,2019-03-27 01:23:07,Greenwich Village South,Kips Bay,Manhattan,Manhattan
2019-03-04 19:57:14,2019-03-04 20:02:27,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
2019-03-25 18:33:45,2019-03-25 18:39:54,Little Italy/NoLiTa,Greenwich Village South,Manhattan,Manhattan
2019-03-22 17:04:20,2019-03-22 17:17:15,Greenwich Village South,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-16 14:02:22,2019-03-16 14:19:22,Midtown Center,Upper East Side North,Manhattan,Manhattan
2019-03-04 15:23:10,2019-03-04 15:37:47,Upper West Side North,Midtown North,Manhattan,Manhattan
2019-03-11 22:38:56,2019-03-11 22:44:45,Garment District,Midtown North,Manhattan,Manhattan
2019-03-02 22:01:50,2019-03-02 22:09:59,Greenwich Village North,Gramercy,Manhattan,Manhattan
2019-03-29 18:54:16,2019-03-29 18:56:34,Gramercy,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-09 15:32:31,2019-03-09 15:44:03,Upper East Side South,Kips Bay,Manhattan,Manhattan
2019-03-25 09:53:53,2019-03-25 10:07:37,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-26 03:16:36,2019-03-26 03:35:04,Williamsburg (South Side),Bushwick South,Brooklyn,Brooklyn
2019-03-19 12:30:27,2019-03-19 12:49:12,Penn Station/Madison Sq West,Lincoln Square East,Manhattan,Manhattan
2019-03-27 13:08:29,2019-03-27 13:18:05,Flatiron,East Chelsea,Manhattan,Manhattan
2019-03-18 14:04:19,2019-03-18 14:13:16,East Harlem North,Upper East Side North,Manhattan,Manhattan
2019-03-27 21:00:59,2019-03-27 21:13:56,Little Italy/NoLiTa,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-22 02:04:40,2019-03-22 02:19:26,Midtown Center,Sunnyside,Manhattan,Queens
2019-03-04 17:07:13,2019-03-04 17:31:03,LaGuardia Airport,Midtown North,Queens,Manhattan
2019-03-08 08:37:55,2019-03-08 08:45:17,Midtown Center,Central Park,Manhattan,Manhattan
2019-03-21 05:25:46,2019-03-21 05:42:50,Central Park,LaGuardia Airport,Manhattan,Queens
2019-03-28 12:12:43,2019-03-28 12:18:01,Greenwich Village North,Greenwich Village South,Manhattan,Manhattan
2019-03-20 12:48:39,2019-03-20 13:06:53,LaGuardia Airport,East Harlem South,Queens,Manhattan
2019-03-11 08:31:11,2019-03-11 08:51:08,Union Sq,Lenox Hill East,Manhattan,Manhattan
2019-03-24 13:43:28,2019-03-24 13:52:33,Alphabet City,Greenwich Village South,Manhattan,Manhattan
2019-03-03 18:37:18,2019-03-03 18:45:24,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-17 22:08:06,2019-03-17 22:24:13,Murray Hill,Long Island City/Hunters Point,Manhattan,Queens
2019-03-20 16:17:43,2019-03-20 16:36:16,Meatpacking/West Village West,Alphabet City,Manhattan,Manhattan
2019-03-31 16:13:54,2019-03-31 16:19:30,Yorkville East,Lenox Hill West,Manhattan,Manhattan
2019-03-27 22:56:59,2019-03-27 23:08:16,Little Italy/NoLiTa,East Chelsea,Manhattan,Manhattan
2019-03-21 08:24:51,2019-03-21 08:29:31,Lincoln Square West,Lincoln Square West,Manhattan,Manhattan
2019-03-26 18:36:08,2019-03-26 19:03:16,Battery Park City,East Village,Manhattan,Manhattan
2019-03-14 19:28:18,2019-03-14 19:32:32,Midtown South,Murray Hill,Manhattan,Manhattan
2019-03-08 06:50:20,2019-03-08 06:55:43,Greenwich Village South,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-15 19:05:05,2019-03-15 19:18:11,West Village,Battery Park,Manhattan,Manhattan
2019-03-20 12:15:06,2019-03-20 12:34:39,Murray Hill,Central Park,Manhattan,Manhattan
2019-03-24 22:56:11,2019-03-24 23:15:23,LaGuardia Airport,Central Harlem,Queens,Manhattan
2019-03-15 18:18:23,2019-03-15 18:28:45,Times Sq/Theatre District,Central Park,Manhattan,Manhattan
2019-03-31 00:14:11,2019-03-31 00:25:44,Flatiron,Murray Hill,Manhattan,Manhattan
2019-03-04 21:08:04,2019-03-04 21:18:33,Sutton Place/Turtle Bay North,Gramercy,Manhattan,Manhattan
2019-03-12 13:05:22,2019-03-12 13:31:47,Battery Park City,Garment District,Manhattan,Manhattan
2019-03-15 08:42:56,2019-03-15 08:47:27,Upper East Side South,Lenox Hill East,Manhattan,Manhattan
2019-03-01 17:53:56,2019-03-01 17:54:19,TriBeCa/Civic Center,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-21 13:45:23,2019-03-21 13:56:04,Midtown East,Midtown North,Manhattan,Manhattan
2019-03-13 10:57:06,2019-03-13 11:03:29,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-11 21:19:42,2019-03-11 21:29:23,Battery Park City,Financial District North,Manhattan,Manhattan
2019-03-20 18:09:46,2019-03-20 18:16:52,Upper West Side South,Upper East Side North,Manhattan,Manhattan
2019-03-09 11:08:09,2019-03-09 11:18:03,Lenox Hill West,Upper West Side South,Manhattan,Manhattan
2019-03-22 18:12:50,2019-03-22 18:22:05,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-15 13:07:37,2019-03-15 13:12:41,East Harlem North,Yorkville East,Manhattan,Manhattan
2019-03-05 09:48:01,2019-03-05 10:08:00,Mount Hope,Norwood,Bronx,Bronx
2019-03-23 10:43:41,2019-03-23 10:58:43,Mott Haven/Port Morris,East Concourse/Concourse Village,Bronx,Bronx
2019-03-06 16:47:56,2019-03-06 17:07:03,Washington Heights South,Bloomingdale,Manhattan,Manhattan
2019-03-18 13:20:19,2019-03-18 13:32:24,Washington Heights South,West Concourse,Manhattan,Bronx
2019-03-22 16:48:21,2019-03-22 16:58:33,Park Slope,Fort Greene,Brooklyn,Brooklyn
2019-03-04 10:47:27,2019-03-04 10:59:50,Hamilton Heights,Highbridge,Manhattan,Bronx
2019-03-02 23:02:04,2019-03-02 23:13:30,Astoria,Sunnyside,Queens,Queens
2019-03-16 20:17:52,2019-03-16 20:23:32,Central Harlem North,Central Harlem,Manhattan,Manhattan
2019-03-15 16:07:16,2019-03-15 16:09:43,Central Harlem,East Harlem South,Manhattan,Manhattan
2019-03-21 00:02:10,2019-03-21 00:11:21,Boerum Hill,Sunset Park West,Brooklyn,Brooklyn
2019-03-01 16:24:53,2019-03-01 16:46:42,Morningside Heights,East Harlem North,Manhattan,Manhattan
2019-03-05 17:24:30,2019-03-05 17:29:47,Steinway,Steinway,Queens,Queens
2019-03-22 10:51:16,2019-03-22 11:06:48,Crown Heights North,Crown Heights North,Brooklyn,Brooklyn
2019-03-03 14:00:29,2019-03-03 14:16:12,Brooklyn Heights,Bedford,Brooklyn,Brooklyn
2019-03-30 17:19:26,2019-03-30 17:30:46,Astoria,Steinway,Queens,Queens
2019-03-31 21:55:23,2019-03-31 22:02:47,Old Astoria,Jackson Heights,Queens,Queens
2019-03-17 22:23:59,2019-03-17 22:35:49,Jackson Heights,Corona,Queens,Queens
2019-03-16 22:06:05,2019-03-16 22:17:20,Mott Haven/Port Morris,Soundview/Castle Hill,Bronx,Bronx
2019-03-23 11:52:37,2019-03-23 11:58:08,Morningside Heights,Morningside Heights,Manhattan,Manhattan
2019-03-20 18:09:20,2019-03-20 18:19:38,Central Harlem,East Harlem North,Manhattan,Manhattan
2019-03-03 20:18:35,2019-03-03 20:26:27,East Harlem South,Bloomingdale,Manhattan,Manhattan
2019-03-21 13:59:01,2019-03-21 14:04:54,Morningside Heights,Manhattan Valley,Manhattan,Manhattan
2019-03-20 12:57:46,2019-03-20 13:01:51,Rego Park,Forest Hills,Queens,Queens
2019-03-01 15:16:25,2019-03-01 15:29:40,Bay Ridge,Gravesend,Brooklyn,Brooklyn
2019-03-02 22:56:52,2019-03-02 22:59:51,Morningside Heights,Morningside Heights,Manhattan,Manhattan
2019-03-22 12:17:21,2019-03-22 12:29:00,East Harlem South,Central Harlem,Manhattan,Manhattan
2019-03-27 10:18:24,2019-03-27 10:27:09,Downtown Brooklyn/MetroTech,Columbia Street,Brooklyn,Brooklyn
2019-03-11 10:29:53,2019-03-11 10:32:27,Astoria,Steinway,Queens,Queens
2019-03-31 17:40:14,2019-03-31 17:50:10,Midwood,Manhattan Beach,Brooklyn,Brooklyn
2019-03-19 21:09:25,2019-03-19 21:19:35,Fort Greene,Park Slope,Brooklyn,Brooklyn
2019-03-31 14:18:05,2019-03-31 14:29:38,Rego Park,Elmhurst,Queens,Queens
2019-03-30 11:05:27,2019-03-30 11:19:06,Woodside,Flushing,Queens,Queens
2019-03-24 12:17:16,2019-03-24 12:28:59,Woodside,Old Astoria,Queens,Queens
2019-03-16 08:46:29,2019-03-16 08:47:13,Murray Hill-Queens,Murray Hill-Queens,Queens,Queens
2019-03-13 19:48:25,2019-03-13 19:58:51,Sheepshead Bay,Sheepshead Bay,Brooklyn,Brooklyn
2019-03-06 08:34:54,2019-03-06 09:11:42,Saint Albans,Rego Park,Queens,Queens
2019-03-27 10:48:05,2019-03-27 10:58:06,Allerton/Pelham Gardens,Co-Op City,Bronx,Bronx
2019-03-27 09:30:05,2019-03-27 09:35:50,Central Harlem,Morningside Heights,Manhattan,Manhattan
2019-03-14 07:59:12,2019-03-14 08:05:27,East Harlem South,East Harlem North,Manhattan,Manhattan
2019-03-11 10:10:14,2019-03-11 10:22:24,Forest Hills,Corona,Queens,Queens
2019-03-05 07:23:49,2019-03-05 09:11:29,University Heights/Morris Heights,Yorkville East,Bronx,Manhattan
2019-03-16 18:29:51,2019-03-16 18:34:16,Central Harlem North,Hamilton Heights,Manhattan,Manhattan
2019-03-17 12:39:28,2019-03-17 12:53:44,East Harlem North,Hamilton Heights,Manhattan,Manhattan
2019-03-18 23:48:38,2019-03-18 23:56:36,Steinway,Jackson Heights,Queens,Queens
2019-03-25 17:43:57,2019-03-25 18:19:25,Brooklyn Heights,East Flatbush/Remsen Village,Brooklyn,Brooklyn
2019-03-17 23:16:34,2019-03-17 23:16:52,Murray Hill-Queens,Murray Hill-Queens,Queens,Queens
2019-03-08 23:22:22,2019-03-08 23:26:26,Fort Greene,Boerum Hill,Brooklyn,Brooklyn
2019-03-06 17:37:53,2019-03-06 17:41:37,Fort Greene,Fort Greene,Brooklyn,Brooklyn
2019-03-15 21:25:41,2019-03-15 21:51:22,DUMBO/Vinegar Hill,West Village,Brooklyn,Manhattan
2019-03-27 20:00:14,2019-03-27 20:06:38,Downtown Brooklyn/MetroTech,Boerum Hill,Brooklyn,Brooklyn
2019-03-02 19:25:01,2019-03-02 19:28:00,Central Harlem,Central Harlem North,Manhattan,Manhattan
2019-03-13 09:04:25,2019-03-13 09:39:54,East New York,Jamaica,Brooklyn,Queens
2019-03-06 13:33:13,2019-03-06 14:29:45,Kingsbridge Heights,Kingsbridge Heights,Bronx,Bronx
2019-03-25 01:51:01,2019-03-25 02:08:23,Elmhurst,Murray Hill-Queens,Queens,Queens
2019-03-01 21:21:01,2019-03-01 21:28:00,Astoria,Woodside,Queens,Queens
2019-03-09 09:31:50,2019-03-09 09:50:01,Flushing,Flushing,Queens,Queens
2019-03-10 16:28:21,2019-03-10 16:30:46,Central Harlem,Central Harlem,Manhattan,Manhattan
2019-03-17 07:14:23,2019-03-17 07:25:12,Long Island City/Hunters Point,Lenox Hill East,Queens,Manhattan
2019-03-17 14:00:01,2019-03-17 14:06:24,East Harlem South,Upper West Side North,Manhattan,Manhattan
2019-03-11 00:05:38,2019-03-11 00:15:33,Williamsburg (North Side),Bushwick South,Brooklyn,Brooklyn
2019-03-09 21:41:33,2019-03-09 21:46:23,Jackson Heights,Elmhurst,Queens,Queens
2019-03-06 18:27:59,2019-03-06 18:43:24,Downtown Brooklyn/MetroTech,Red Hook,Brooklyn,Brooklyn
2019-03-12 07:10:30,2019-03-12 07:14:18,Long Island City/Hunters Point,Long Island City/Hunters Point,Queens,Queens
2019-03-18 10:29:33,2019-03-18 10:38:15,Downtown Brooklyn/MetroTech,Clinton Hill,Brooklyn,Brooklyn
2019-03-30 00:07:07,2019-03-30 00:13:27,Sunnyside,Astoria,Queens,Queens
2019-03-01 16:37:58,2019-03-01 16:49:05,Forest Hills,Hillcrest/Pomonok,Queens,Queens
2019-03-24 02:41:56,2019-03-24 03:01:14,Greenpoint,Ridgewood,Brooklyn,Queens
2019-03-15 14:14:34,2019-03-15 14:26:41,Crown Heights North,Crown Heights North,Brooklyn,Brooklyn
2019-03-28 12:46:54,2019-03-28 12:51:24,Morningside Heights,Morningside Heights,Manhattan,Manhattan
2019-03-06 13:52:46,2019-03-06 14:00:53,Central Harlem,Central Harlem North,Manhattan,Manhattan
2019-03-18 19:14:57,2019-03-18 19:19:47,Astoria,Steinway,Queens,Queens
2019-03-22 03:28:18,2019-03-22 03:43:44,Elmhurst,College Point,Queens,Queens
2019-03-08 22:23:49,2019-03-08 22:30:16,Sheepshead Bay,Manhattan Beach,Brooklyn,Brooklyn
